pressure,humidity,cloudcover,wind_gust,temperature_humidity_index,month,wind_direction,quarter,temperature_range,wind_speed,hour,is_day
0.3243,1.00394,-0.17888,-1.11353,-1.20228,0.1477,0.82601,0.0581,-0.18565,0.47445,-1.55183,-1.05578
0.3243,1.15539,0.71014,-0.85637,-1.51067,0.1477,-0.04331,0.0581,-0.18565,-1.05687,-1.55183,-1.05578
0.3243,0.6253,0.71014,1.20368,-1.09697,0.1477,1.10419,0.0581,-0.18565,-0.31309,-1.55183,-1.05578
0.3243,0.77675,0.71014,-0.90288,-1.20904,0.1477,-2.18761,0.0581,-0.18565,-1.00218,-1.55183,-1.05578
0.3243,1.15539,0.71014,0.48417,-1.93082,0.1477,1.02305,0.0581,-0.18565,-0.85999,-1.55183,-1.05578
0.9069,1.38257,0.21229,-0.77429,-2.07,0.1477,-1.29512,0.0581,-0.18565,-0.94202,-1.55183,-1.05578
-0.2583,0.92821,0.71014,0.19965,-0.71231,0.1477,1.081,0.0581,-0.18565,0.38148,-1.55183,-1.05578
0.3243,1.30685,0.71014,-0.41043,-1.28768,0.1477,1.62577,0.0581,-0.18565,-0.8053,-1.55183,-1.05578
0.033,0.85248,0.71014,0.51426,-0.63431,0.1477,1.67214,0.0581,-0.18565,0.70962,-1.55183,-1.05578
0.3243,0.6253,-0.4278,0.01909,-0.85662,0.1477,1.78804,0.0581,-0.18565,0.14084,-1.55183,-1.05578
0.3243,1.00394,-2.22361,-1.11353,-0.72617,0.1477,1.63736,0.0581,-0.18565,-0.36778,-1.55183,-1.05578
0.6156,0.92821,0.71014,-0.75514,-1.11609,0.1477,0.79123,0.0581,-0.18565,-0.88186,-1.55183,-1.05578
0.6156,0.92821,0.71014,-0.45421,-0.94436,0.1477,1.19691,0.0581,-0.18565,-0.51544,-1.55183,-1.05578
0.033,0.85248,0.71014,0.51426,-0.63431,0.1477,1.67214,0.0581,-0.18565,0.70962,-1.55183,-1.05578
0.3243,0.6253,-0.4278,0.01909,-0.85662,0.1477,1.78804,0.0581,-0.18565,0.14084,-1.55183,-1.05578
0.3243,1.00394,-2.22361,-1.11353,-0.72617,0.1477,1.63736,0.0581,-0.18565,-0.36778,-1.55183,-1.05578
-0.5496,1.00394,-0.17888,-1.11353,-0.73551,0.1477,-2.30352,0.0581,-0.18565,-1.21547,-1.55183,-1.05578
0.6156,1.23112,0.71014,-0.80712,-1.13144,0.1477,-2.25716,0.0581,-0.18565,-0.8928,-1.55183,-1.05578
0.3243,0.47384,0.71014,1.98339,-1.03354,0.1477,0.98828,0.0581,-0.18565,1.13073,-1.55183,-1.05578
0.3243,0.92821,0.71014,-0.52807,-1.21355,0.1477,1.75327,0.0581,-0.18565,-0.49903,-1.55183,-1.05578
0.3243,0.92821,0.71014,2.05999,-1.16714,0.1477,0.87237,0.0581,-0.18565,0.45257,-1.55183,-1.05578
0.6156,1.00394,-0.17888,-1.11353,-1.20228,0.1477,0.82601,0.0581,-0.18565,0.47445,-1.40681,-1.05578
-0.2583,0.92821,0.71014,0.19965,-0.71231,0.1477,1.081,0.0581,-0.18565,0.38148,-1.40681,-1.05578
0.6156,1.23112,0.67458,-0.74967,-1.72961,0.1477,-2.21079,0.0581,-0.18565,-0.72873,-1.40681,-1.05578
0.033,0.85248,0.71014,1.05869,-1.28036,0.1477,0.89555,0.0581,-0.18565,0.64946,-1.40681,-1.05578
0.3243,0.85248,0.71014,-0.26817,-0.80044,0.1477,1.18532,0.0581,-0.18565,-0.23652,-1.40681,-1.05578
